       TIC sector class
---------- ------ -----
     91961     11    EA
    120016     11    EW
    120016     38    EW
    627436      5    EW
    627436     32    EW
    671564      5    EW
    737546      5    EA
    862763     34    EA
    927554     34    EA
   1045298      4    EB
   1103432      8    EA
   1103432     61    EA
   1129033      4    EA
   1129033     31    EA
   1129452      4    EW
   1202347      8    EA
   1202347     61    EA
   1202347     62    EA
   1220444      5    EA
   1230647      8    EB
   1230647     62    EB
   1449640      5    EA
   1449640     32    EA
   1450518      5    EW
   1630438     10    EW
   1630438     46    EW
   1630438     63    EW
   1630690     10    EW
   1630690     63    EW
   2020964      8    EA
   2020964     61    EA
   2020964     62    EA
   2236015     19    EA
   2236015     43    EA
   2236015     44    EA
   2236015     45    EA
   2236015     59    EA
   2353789      8    EA
   2353789     61    EA
   2353789     62    EA
   2372579     13    EA
   2938831     43    EB
   2938831     44    EB
   2938831     45    EB
   2938831     59    EB
   2940839     43    EW
   2940839     44    EW
   2940839     45    EW
   2940839     59    EW
   3815360      3    EA
   3815360     30    EA
   3816260      3    EA
   3816260     42    EA
   3816260     43    EA
   3921749      3    EA
   3921749     30    EA
   3921749     42    EA
   3921749     43    EA
   4164713     20    EW
   4164713     44    EW
   4164713     45    EW
   4164713     46    EW
   4164713     47    EW
   4164713     60    EW
   4247738     20    EA
   4247738     44    EA
   4247738     45    EA
   4247738     46    EA
   4247738     47    EA
   4247738     60    EA
   4254645      6    EA
   4629065      4    EA
   4723156      4    EA
   4723156     31    EA
   4742129      4    EA
   4742129     31    EA
   5011919     48    EA
   5092088      8    EA
   5092088      9    EA
   5092088     35    EA
   5092088     36    EA
   5092088     62    EA
   5205367     26    EA
   5205367     53    EA
   5260642     53    EW
   5283033     33    EW
   5364915      8    EA
   5364915     62    EA
   5637753     43    EW
   5674169     18    EW
   5674169     58    EW
   5703872      8    EA
   5703872      9    EA
   5703872     62    EA
   5953640     43    EA
   5953640     44    EA
   5953640     45    EA
   5981829     10    EB
   5981829     64    EB
   6400274     13    EA
   6518047      7    EA
   7211118      7    EA
   7695666      4    EA
   7695666      5    EA
   7724421      4    EW
   7724421      5    EW
   7724421     31    EW
   7724421     32    EW
   7849727     14    EB
   7849727     26    EB
   7849727     40    EB
   7849727     52    EB
   7849727     53    EB
   7849727     54    EB
   7851729     26    EB
   7854182     25    EB
   7854182     26    EB
   7854182     40    EB
   7854182     41    EB
   7854182     52    EB
   7854182     53    EB
   7854182     54    EB
   8200343     21    EA
   8245065     21    EW
   8245065     48    EW
   8544992     52    EW
   8624617     24    EB
   8624617     25    EB
   8624617     51    EB
   8624617     52    EB
   8669966     25    EB
   8669966     51    EB
   8669966     52    EB
   8673277     24    EW
   8673277     25    EW
   8673277     51    EW
   8673277     52    EW
